YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
3662,32.9077795,21.6,198.2,57.09,0.21
3664,24.35488722,19.9,175.6,54.65,0.14
3665,5.551865636,17.2,55.3,50.1,0.75
3666,3.424273859,14.6,49.8,43.59,0.19
3669,1.139590854,13.8,19.5,37.77,1.24
3670,35.76289157,24.4,175.2,55.15,0.71
3672,2.979166667,17.7,27.1,27.45,0.02
3673,2.288811189,14,36.7,41.62,0.09
3675,82.74370532,27.9,325.1,58.53,1.47
3676,10.69361702,19.7,78.2,40.46,0.09
3678,40.72485001,26.2,181.5,48.43,2.23
3680,0.380952381,12,0.4,24.93,0.4
3682,385.9773499,31.6,350.5,95.61,0.71
3685,272.5925069,35.2,711.4,70.21,0.32
3686,4.414215202,16.1,51.6,47.04,0.92
3687,7.999618175,13.3,145.9,52.86,0.17
3688,20.58954009,22.1,119.5,47.47,0.24
3690,12.22895928,17.9,109.4,51.22,0.03
3691,8.037099494,17.2,79.9,46,0.26
3693,96.55570676,31.1,326.4,73.63,2.89
3694,18.33684016,20,130.6,62.42,0.57
